gene,cluster
12945_00144,group_8263
12945_00145,group_427
12945_00146,rsxB_1
12945_00147,torD_1
12945_00148,group_8102
12945_00149,fdhA
12945_00150,fdhB1_1
12945_00151,group_9495
12945_00152,group_8178
12945_00153,fdnG-3
12945_00154,fdhB1_2
12945_00155,group_9629
12945_00156,mcpQ_1
12945_00157,hemN_1
12945_00158,group_695
12945_00159,group_9479
12945_00160,hutH_2
12945_00161,group_1905
12945_00162,group_2565
12945_00163,basR
12945_00164,group_9155
12945_00165,group_8295
12945_00166,urdA_1
12945_00167,group_2566
12945_00168,group_1502
12945_00169,group_2567
12945_00170,group_3685
12945_00171,group_3686
12945_00172,group_3687
12945_00173,group_2568
12945_00174,group_3688
12945_00175,group_3689
12945_00176,group_3690
12945_00177,outD_1
12945_00178,group_6051
12945_00179,group_3692
12945_00180,group_3693
12945_00181,group_3694
12945_00182,group_3695
12945_00183,group_1906
12945_00184,pckA
12945_00185,hslO
12945_00186,hslR
12945_00187,epsC
12945_00188,epsD
12945_00189,epsE_1
12945_00190,epsF_1
12945_00191,epsG
12945_00192,gspH
12945_00193,xcpV
12945_00194,xcpW
12945_00195,gspK_1
12945_00196,epsL
12945_00197,epsM
12945_00198,group_10095
12945_00199,nudE
12945_00200,cysQ_1
12945_00201,rimI_1
12945_00202,group_1907
12945_00203,aas
12945_00204,selU
12945_00205,selD
12945_00206,group_9468
12945_00207,fabR
12945_00208,trmA
12945_00209,murI
12945_00210,group_8451
12945_00212,murB
12945_00213,birA
12945_00214,coaA
12945_00216,group_8344
12945_00218,group_8099
12945_00219,tufB_1
12945_00220,secE
12945_00221,nusG
12945_00222,rplK
12945_00223,rplA
12945_00224,rplJ
12945_00225,rplL
12945_00226,rpoB
12945_00227,rpoC
12945_00228,rpsL
12945_00229,rpsG
12945_00230,fusA_1
12945_00231,tufB_2
12945_00232,rpsJ
12945_00233,rplC
12945_00234,rplD
12945_00235,rplW
12945_00236,rplB
12945_00237,rpsS
12945_00238,rplV
12945_00239,rpsC
12945_00240,rplP
12945_00241,rpmC
12945_00242,rpsQ
12945_00243,rplN
12945_00244,rplX
12945_00245,rplE
12945_00246,rpsN
12945_00247,rpsH
12945_00248,rplF
12945_00249,rplR
12945_00250,rpsE
12945_00251,rpmD
12945_00252,rplO
12945_00253,secY
12945_00254,rpsM
12945_00255,rpsK
12945_00256,rpsD
12945_00257,rpoA
12945_00258,rplQ
12945_00259,group_2574
12945_00260,ccmE
12945_00261,group_9818
12945_00262,ccmC
12945_00263,ccmB
12945_00264,ccmA
12945_00265,group_8168
12945_00266,nrfG_1
12945_00267,ccmF_1
12945_00268,dsbE
12945_00269,ccmH_1
12945_00270,tlpA_1
12945_00271,group_3697
12945_00272,group_109
12945_00273,group_8268
12945_00274,pncC
12945_00275,yceB
12945_00276,ppc
12945_00277,argE
12945_00278,argC
12945_00279,argB
12945_00280,argF
12945_00281,argG
12945_00282,argH
12945_00283,mrcA
12945_00284,ftsA_1
12945_00285,group_8383
12945_00286,group_8775
12945_00287,group_9211
12945_00288,pilQ
12945_00289,aroK
12945_00290,aroB
12945_00291,group_772
12945_00292,dam
12945_00293,group_9835
12945_00294,group_8769
12945_00295,rpe
12945_00296,gph_1
12945_00297,trpS
12945_00298,gcvA_1
12945_00299,group_9207
12945_00300,group_8356
12945_00301,gmhA
12945_00302,group_2581
12945_00303,lpoA
12945_00304,rsmI
12945_00305,group_1506
12945_00306,group_1909
12945_00307,group_2583
12945_00308,yecN
12945_00309,group_3339
12945_00310,group_1911
12945_00311,stp
12945_00312,group_2371
12945_00313,group_9238
12945_00314,potE
12945_00315,speF
12945_00316,group_1912
12945_00317,group_2585
12945_00318,group_2586
12945_00319,fdoI
12945_00320,dmsD_1
12945_00321,ttrB_1
12945_00322,ynfE
12945_00323,group_1509
12945_00324,group_3699
12945_00325,group_1245
12945_00326,group_1076
12945_00327,group_9570
12945_00328,dpp5_1
12945_00329,group_9936
12945_00330,group_8955
12945_00331,group_10103
12945_00332,group_338
12945_00333,group_1918
12945_00334,group_9980
12945_00335,group_2589
12945_00336,srkA
12945_00337,dsbA_1
12945_00338,group_3700
12945_00339,zapB
12945_00340,yabJ_1
12945_00341,group_9417
12945_00342,group_2591
12945_00343,group_1775
12945_00344,ilvK
12945_00345,adrA_1
12945_00346,prpF
12945_00347,acnD
12945_00348,prpC
12945_00349,prpB
12945_00350,rspR
12945_00351,group_773
12945_00352,yihG_1
12945_00353,yihG_2
12945_00354,zntA
12945_00355,ubiG_1
12945_00356,group_774
12945_00357,group_9391
12945_00358,nimR_1
12945_00359,ydhC_1
12945_00360,group_3701
12945_00361,group_3702
12945_00362,fic
12945_00363,hsdM
12945_00364,hsdS
12945_00365,group_2595
12945_00366,group_3706
12945_00367,group_3707
12945_00368,group_3708
12945_00369,group_3709
12945_00370,group_2596
12945_00371,rph
12945_00372,pyrE
12945_00373,folE
12945_00374,dapb3_1
12945_00375,slmA
12945_00376,dut
12945_00377,coaBC
12945_00378,group_8607
12945_00379,rpmB
12945_00380,rpmG
12945_00381,argA
12945_00382,group_1919
12945_00383,group_8312
12945_00384,group_9955
12945_00385,recQ
12945_00386,cph2_3
12945_00387,leuA
12945_00388,leuB
12945_00389,leuC
12945_00390,leuD1
12945_00391,group_1920
12945_00392,group_1921
12945_00393,glpK
12945_00394,group_2599
12945_00395,prs_1
12945_00396,group_10057
12945_00397,group_775
12945_00398,mraZ
12945_00399,rsmH
12945_00400,ftsL
12945_00401,ftsI
12945_00402,murE
12945_00403,murF
12945_00404,mraY
12945_00405,murD
12945_00406,ftsW
12945_00407,murG
12945_00408,murC
12945_00409,ftsQ
12945_00410,ftsA_2
12945_00411,ftsZ
12945_00412,lpxC
12945_00413,group_8997
12945_00414,mepM_1
12945_00415,secA
12945_00417,group_205
12945_00419,mutT
12945_00420,yacG
12945_00421,zapD
12945_00422,coaE
12945_00423,outO
12945_00424,epsF_2
12945_00425,xpsE
12945_00426,pilE1
12945_00427,nadC
12945_00428,ampD
12945_00429,group_8299
12945_00430,pdhR
12945_00431,aceE
12945_00432,aceF
12945_00433,lpdA
12945_00434,yegE
12945_00435,group_1514
12945_00436,pepO_1
12945_00437,yniC
12945_00438,acnB
12945_00439,rsd
12945_00440,hemE
12945_00441,srrA
12945_00442,group_474
12945_00443,group_1077
12945_00444,group_8217
12945_00445,group_9425
12945_00446,group_2604
12945_00447,mcpQ_2
12945_00448,uvrD
12945_00449,ubiA
12945_00450,group_9218
12945_00451,group_8545
12945_00452,torT_1
12945_00453,group_1516
12945_00454,hslU
12945_00455,hslV
12945_00456,ftsN
12945_00457,argS
12945_00458,yghB
12945_00459,priA
12945_00460,group_269
12945_00461,rpmE
12945_00462,group_3710
12945_00463,dmsD_2
12945_00464,dmsB
12945_00465,dmsA
12945_00466,group_3713
12945_00467,group_1927
12945_00468,group_2605
12945_00469,accB
12945_00470,aroQ
12945_00471,arfB
12945_00472,group_8386
12945_00473,group_10074
12945_00474,group_2607
12945_00475,group_1518
12945_00476,czcB
12945_00477,czcA_1
12945_00478,czcD_1
12945_00479,group_1519
12945_00480,group_1929
12945_00481,group_951
12945_00482,group_8382
12945_00483,group_2340
12945_00484,group_9596
12945_00485,group_282
12945_00486,pnuC
12945_00487,udp_1
12945_00488,group_2610
12945_00489,lprI
12945_00490,tabA
12945_00491,cirA_1
12945_00492,group_777
12945_00493,group_8521
12945_00494,rluA_1
12945_00495,group_698
12945_00496,pgaC
12945_00497,group_1255
12945_00498,tlpA_2
12945_00499,ccmH_2
12945_00500,ccmF_2
12945_00501,sirA
12945_00502,group_2611
12945_00503,mip
12945_00504,nrfG_2
12945_00505,group_2613
12945_00506,group_702
12945_00507,ecsA
12945_00508,group_1258
12945_00509,group_2618
12945_00510,group_625
12945_00511,purC
12945_00512,proA_1
12945_00513,proB_1
12945_00514,opuE
12945_00515,group_9867
12945_00516,arsR1
12945_00517,acr3
12945_00518,gap3
12945_00519,group_1935
12945_00520,group_9413
12945_00521,group_3714
12945_00522,group_1936
12945_00523,group_1937
12945_00524,group_1087
12945_00525,group_2622
12945_00526,cmpR_1
12945_00527,alsT_1
12945_00528,group_2623
12945_00529,group_2624
12945_00530,group_2625
12945_00531,cph1
12945_00532,rcp1
12945_00533,pdeB_1
12945_00534,rimK_1
12945_00535,group_2629
12945_00536,hupB_1
12945_00537,group_1940
12945_00538,group_2630
12945_00539,group_1088
12945_00540,group_2631
12945_00541,group_2632
12945_00542,group_9927
12945_00543,group_1941
12945_00544,cheD
12945_00545,cmoM
12945_00546,group_1943
12945_00547,fhs
12945_00548,mscS_1
12945_00549,group_2634
12945_00550,group_1520
12945_00551,group_1089
12945_00552,group_8586
12945_00553,fimA
12945_00554,group_9491
12945_00555,plsC
12945_00556,rraB
12945_00557,degS
12945_00558,degQ
12945_00559,group_2635
12945_00560,zapE_1
12945_00561,rplM
12945_00562,rpsI
12945_00563,purA_1
12945_00564,group_8379
12945_00565,rnr
12945_00566,rlmB
12945_00567,group_188
12945_00568,group_2636
12945_00569,rpsF
12945_00570,priB
12945_00571,rpsR
12945_00572,rplI
12945_00573,group_9247
12945_00574,dnaB
12945_00575,alr
12945_00576,group_9506
12945_00577,ttrA
12945_00578,ttrC
12945_00579,ttrB_2
12945_00580,ttrS_1
12945_00581,ttrR_1
12945_00582,dusA
12945_00583,group_527
12945_00584,group_1090
12945_00585,group_10028
12945_00586,group_1944
12945_00587,crt_1
12945_00588,group_9592
12945_00589,group_9334
12945_00590,group_8827
12945_00591,tolC
12945_00592,nudF
12945_00593,group_2637
12945_00594,cpdA
12945_00595,group_2638
12945_00596,parE
12945_00597,group_2639
12945_00598,parC
12945_00599,bfd
12945_00600,ghrA
12945_00601,group_10093
12945_00602,glpQ
12945_00603,mscM
12945_00604,group_2640
12945_00605,psd
12945_00606,rsgA
12945_00607,orn
12945_00608,group_8329
12945_00609,group_8332
12945_00610,group_8333
12945_00611,group_9302
12945_00612,group_1261
12945_00613,nnr
12945_00614,tsaE
12945_00615,amiB
12945_00616,mutL
12945_00617,miaA
12945_00618,hfq
12945_00619,hflX
12945_00620,hflK
12945_00621,hflC
12945_00622,petA
12945_00623,petB
12945_00624,group_2648
12945_00625,sspA
12945_00626,sspB
12945_00627,dosC_1
12945_00628,group_1091
12945_00629,group_2650
12945_00630,group_1523
12945_00631,group_1525
12945_00632,group_627
12945_00633,nepI
12945_00634,pgrR_1
12945_00635,pabA
12945_00636,dap4_1
12945_00637,group_8648
12945_00638,mlhB
12945_00639,argD
12945_00640,astA
12945_00641,astD
12945_00642,group_10039
12945_00643,group_1946
12945_00644,group_9624
12945_00645,group_9537
12945_00646,phoQ_1
12945_00647,phoP_1
12945_00648,group_8787
12945_00649,crp
12945_00650,esiB_1
12945_00651,cfxP
12945_00652,group_1093
12945_00653,group_9881
12945_00654,group_9394
12945_00655,group_2653
12945_00656,group_9492
12945_00657,yheS_1
12945_00658,group_628
12945_00659,group_3717
12945_00660,group_1947
12945_00661,group_1950
12945_00662,group_33
12945_00663,group_952
12945_00664,group_8156
12945_00665,group_8859
12945_00666,group_9101
12945_00667,group_8385
12945_00668,group_8721
12945_00669,group_1262
12945_00670,group_9367
12945_00671,group_9311
12945_00672,pld
12945_00673,group_277
12945_00674,fdnG_1
12945_00675,fdnH_1
12945_00676,fdnI_1
12945_00677,fdhE_1
12945_00678,group_1263
12945_00679,group_704
12945_00680,group_9859
12945_00681,group_1951
12945_00682,group_630
12945_00683,group_1952
12945_00684,group_1442
12945_00685,group_1954
12945_00686,rlmI_1
12945_00687,spo0M
12945_00688,trxC
12945_00689,group_1094
12945_00690,mtgA
12945_00691,group_1264
12945_00692,nupC
12945_00693,gmr_1
12945_00694,lrp_1
12945_00695,group_1957
12945_00696,dpp5_2
12945_00697,tcyP
12945_00698,hipA_1
12945_00699,hipB
12945_00700,yheS_2
12945_00701,group_1958
12945_00702,ydcP_1
12945_00703,group_1528
12945_00704,group_3722
12945_00705,group_128
12945_00706,group_1529
12945_00707,group_705
12945_00708,group_706
12945_00709,metH
12945_00710,group_339
12945_00711,fecE
12945_00712,hmuU_1
12945_00713,cobT
12945_00714,cobS
12945_00715,cobP
12945_00716,cobQ
12945_00717,btuR
12945_00718,group_2656
12945_00719,group_691
12945_00720,group_8871
12945_00721,cheB_2
12945_00722,echA8
12945_00723,group_8098
12945_00724,group_852
12945_00725,group_294
12945_00726,group_295
12945_00727,rapA
12945_00728,group_9059
12945_00729,pdeB_2
12945_00730,group_9191
12945_00731,group_9447
12945_00732,group_9002
12945_00733,group_2657
12945_00734,tpm
12945_00735,group_3349
12945_00736,tcdA
12945_00737,pepT
12945_00738,csrD_1
12945_00739,group_9549
12945_00740,group_8078
12945_00741,mcpQ_3
12945_00742,group_8154
12945_00743,group_708
12945_00744,group_709
12945_00745,resA_1
12945_00746,dsbD_1
12945_00747,group_1961
12945_00748,ampC
12945_00749,group_3723
12945_00750,group_3724
12945_00751,azoR_1
12945_00752,gabR
12945_00753,pqiB_1
12945_00754,group_519
12945_00755,group_1531
12945_00756,zur
12945_00757,dbpA
12945_00758,rhlE_1
12945_00759,group_1533
12945_00760,cydD
12945_00761,yheH
12945_00762,group_1096
12945_00763,group_590
12945_00764,group_9429
12945_00765,group_1963
12945_00766,gltP_1
12945_00767,putA
12945_00768,group_1964
12945_00769,group_2662
12945_00770,group_8883
12945_00771,ygiF
12945_00772,kcsA
12945_00773,group_8311
12945_00774,group_8799
12945_00775,group_8953
12945_00776,group_8204
12945_00777,speE_1
12945_00778,group_8961
12945_00779,group_9174
12945_00780,glnE
12945_00781,group_710
12945_00782,group_712
12945_00783,yofA
12945_00784,guaD
12945_00785,yycB_1
12945_00786,ade
12945_00787,zapE_2
12945_00788,fbp_1
12945_00789,group_9389
12945_00790,ybiS
12945_00791,norR
12945_00792,norB
12945_00793,nhaP2_1
12945_00794,lpxL
12945_00795,hldE
12945_00796,group_941
12945_00797,group_8675
12945_00798,vgrG1_1
12945_00799,group_713
12945_00800,group_386
12945_00801,group_45
12945_00802,group_40
12945_00803,group_3727
12945_00804,group_2666
12945_00805,group_3728
12945_00806,group_3729
12945_00807,group_3730
12945_00808,group_3731
12945_00809,group_2667
12945_00810,group_3732
12945_00811,group_3733
12945_00812,clpB_1
12945_00813,ntrC_1
12945_00814,group_3736
12945_00815,group_3737
12945_00816,group_3738
12945_00817,group_1535
12945_00818,vgrG1_2
12945_00819,group_955
12945_00820,group_867
12945_00821,group_1097
12945_00822,vgrG1_3
12945_00823,group_1967
12945_00824,group_2668
12945_00825,group_10046
12945_00826,group_780
12945_00827,group_9480
12945_00828,group_8925
12945_00829,group_1099
12945_00830,glpG_1
12945_00831,group_868
12945_00832,group_1536
12945_00833,group_528
12945_00834,group_1268
12945_00835,pntB
12945_00836,pntA
12945_00837,cysJ_1
12945_00838,cysI
12945_00839,cysH
12945_00840,group_1851
12945_00841,pldA
12945_00842,cysG_1
12945_00843,cysD
12945_00844,cysN
12945_00845,group_8810
12945_00846,cysC
12945_00847,group_8279
12945_00848,group_8418
12945_00849,hemG_3
12945_00850,group_9754
12945_00851,fadD_1
12945_00852,chrR
12945_00853,group_2669
12945_00854,fhlA
12945_00855,group_781
12945_00856,rhtC_1
12945_00857,dmlR_2
12945_00858,group_1969
12945_00859,ung_1
12945_00860,mcpU_1
12945_00861,group_782
12945_00862,group_2671
12945_00863,group_9499
12945_00864,group_1539
12945_00865,btuB_1
12945_00866,group_956
12945_00867,group_2672
12945_00868,folM
12945_00869,uspE_1
12945_00870,group_1541
12945_00871,azr
12945_00872,group_1972
12945_00873,rsuA_1
12945_00874,pctB_1
12945_00875,group_9412
12945_00876,group_869
12945_00877,pagL
12945_00878,trpS2
12945_00879,group_2675
12945_00880,group_8190
12945_00881,csdE
12945_00882,csd
12945_00883,yhdN_1
12945_00884,group_1274
12945_00885,group_9951
12945_00886,pvdQ
12945_00887,group_1974
12945_00888,gltT
12945_00889,group_8354
12945_00890,group_2676
12945_00891,cph2_4
12945_00892,cph2_5
12945_00893,group_957
12945_00894,group_1275
12945_00895,metK
12945_00896,tktA
12945_00897,epd
12945_00898,pgk
12945_00899,fda
12945_00900,group_1975
12945_00901,group_2678
12945_00902,lysN
12945_00903,appC
12945_00904,appB
12945_00905,group_2679
12945_00906,group_8517
12945_00907,nhaD_1
12945_00908,group_1976
12945_00909,group_1542
12945_00910,group_1543
12945_00911,group_9368
12945_00912,group_8717
12945_00913,group_8863
12945_00914,group_9281
12945_00915,rhtC_2
12945_00916,rluF
12945_00917,group_9272
12945_00918,mleN
12945_00919,mdeA
12945_00920,group_9873
12945_00921,group_1786
12945_00922,mpl
12945_00923,ubiX
12945_00924,hpt
12945_00925,drrA
12945_00926,yadH
12945_00927,group_1276
12945_00928,panC
12945_00929,panB
12945_00930,folK_1
12945_00931,pcnB
12945_00932,gluQ
12945_00933,dksA
12945_00934,sfsA
12945_00935,pepB
12945_00936,group_871
12945_00937,thpR
12945_00938,gmr_2
12945_00939,group_2332
12945_00940,mrcB
12945_00941,dsbA_2
12945_00942,group_9257
12945_00943,nfsB
12945_00944,group_8669
12945_00945,group_10036
12945_00946,group_1977
12945_00947,artM
12945_00948,artQ
12945_00949,artJ
12945_00950,group_9648
12945_00951,group_1544
12945_00952,group_9353
12945_00953,pepN_1
12945_00954,lpoB
12945_00955,group_9358
12945_00956,def_2
12945_00957,slyX
12945_00958,group_9386
12945_00959,fkpA_1
12945_00960,zntB
12945_00961,group_2685
12945_00962,narL
12945_00963,narX
12945_00964,nrfA_1
12945_00965,group_9618
12945_00966,glnK
12945_00967,amtB
12945_00968,group_1980
12945_00969,group_2686
12945_00970,group_959
12945_00971,group_9707
12945_00972,group_960
12945_00973,aroG
12945_00974,group_8119
12945_00975,atm1
12945_00976,group_9703
12945_00977,group_9461
12945_00978,gltA_1
12945_00979,group_2687
12945_00980,group_10069
12945_00981,fpr
12945_00982,group_872
12945_00983,group_2688
12945_00984,futA1
12945_00985,group_9913
12945_00986,fbpC
12945_00987,ywrD
12945_00988,yfeX
12945_00989,argR
12945_00990,mdh_1
12945_00991,group_2690
12945_00992,group_1982
12945_00993,group_8212
12945_00995,group_435
12945_00996,group_1984
12945_00997,group_8194
12945_00998,fpvA
12945_00999,group_1985
12945_01000,group_2692
12945_01001,dps
12945_01002,group_1278
12945_01003,rimI
12945_01004,lipA
12945_01005,lipB
12945_01006,group_9280
12945_01007,ypdF
12945_01008,group_961
12945_01009,rfnT
12945_01010,group_8733
12945_01011,group_2694
12945_01012,pepE_1
12945_01013,fkpA_2
12945_01014,atoE
12945_01015,group_2348
12945_01016,group_1279
12945_01017,group_1280
12945_01018,group_1987
12945_01019,group_1548
12945_01020,group_8547
12945_01021,group_2695
12945_01022,bluR
12945_01023,phrA
12945_01024,group_1281
12945_01025,fabG_1
12945_01026,group_9755
12945_01027,group_633
12945_01028,ufaA1
12945_01029,group_634
12945_01030,group_783
12945_01031,group_784
12945_01032,group_963
12945_01033,group_1549
12945_01034,group_9877
12945_01035,group_9677
12945_01036,group_964
12945_01037,bauC
12945_01038,bauA
12945_01039,puuC
12945_01040,group_473
12945_01041,puuB_1
12945_01042,puuR
12945_01043,puuR_2
12945_01044,puuD
12945_01045,puuA
12945_01046,group_1988
12945_01047,spuE
12945_01048,potA
12945_01049,potH
12945_01050,ydcV
12945_01051,puuB_2
12945_01052,gabD
12945_01053,gabT
12945_01054,mcpU_2
12945_01055,group_3739
12945_01056,bdlA
12945_01057,dps2
12945_01058,pepD
12945_01059,pepA_1
12945_01060,group_1991
12945_01061,adeQ
12945_01062,proB_2
12945_01063,proA_2
12945_01064,ybaK
12945_01065,group_1993
12945_01066,group_3522
12945_01067,group_1552
12945_01068,group_340
12945_01069,group_786
12945_01070,group_714
12945_01071,group_965
12945_01072,group_715
12945_01073,group_592
12945_01074,blc
12945_01075,group_8963
12945_01076,group_1105
12945_01077,dnaK_1
12945_01078,dnaJ
12945_01079,group_1995
12945_01080,aaeB
12945_01081,aaeA_1
12945_01082,group_9879
12945_01083,bepA_1
12945_01084,fklB
12945_01085,dapB
12945_01086,carA
12945_01087,carB
12945_01088,group_9841
12945_01089,greA
12945_01090,group_1554
12945_01091,group_9099
12945_01092,group_10086
12945_01093,yhbY
12945_01094,rlmE
12945_01095,ftsH
12945_01096,folP
12945_01097,glmM
12945_01098,tpiA
12945_01099,secG
12945_01102,rimP
12945_01103,nusA
12945_01104,infB
12945_01105,rbfA
12945_01106,truB
12945_01107,rpsO
12945_01108,gmr_3
12945_01109,group_3740
12945_01110,pnp
12945_01111,nlpI
12945_01112,prfC
12945_01113,yjjV
12945_01114,nupX
12945_01115,tsx
12945_01116,deoC
12945_01117,deoA
12945_01118,deoB
12945_01119,deoD
12945_01120,group_402
12945_01121,serB
12945_01122,group_1852
12945_01123,group_8480
12945_01124,radA
12945_01125,group_9903
12945_01126,cph2_6
12945_01127,torT_2
12945_01128,torS_1
12945_01129,torD_2
12945_01130,torA
12945_01131,torC_2
12945_01132,group_9806
12945_01133,ghxP
12945_01134,group_9458
12945_01135,group_1283
12945_01136,glnB
12945_01137,group_1284
12945_01138,group_1285
12945_01139,group_93
12945_01140,group_3741
12945_01141,group_3742
12945_01142,group_3743
12945_01143,group_2708
12945_01144,rsmB_2
12945_01145,yfcG_1
12945_01146,yfcG_2
12945_01147,comR_1
12945_01148,group_1558
12945_01149,tdhA
12945_01150,group_9454
12945_01151,group_1559
12945_01152,group_2000
12945_01153,gbuC
12945_01154,group_874
12945_01155,group_2709
12945_01156,group_2710
12945_01157,group_9651
12945_01158,group_1560
12945_01159,group_2427
12945_01160,group_2711
12945_01161,group_2712
12945_01162,ndh_1
12945_01163,group_9794
12945_01164,adhB
12945_01165,yodP
12945_01166,putP_1
12945_01167,kamA
12945_01168,group_8358
12945_01169,malQ
12945_01170,glgB
12945_01171,glgX
12945_01172,malP
12945_01173,glgC
12945_01174,glgA
12945_01175,group_2002
12945_01176,rhlE_2
12945_01177,group_1050
12945_01178,yeiR
12945_01179,mepA_1
12945_01180,ndh_2
12945_01181,degA
12945_01182,btuB_2
12945_01183,group_8601
12945_01184,group_595
12945_01185,chb
12945_01186,gspK_2
12945_01187,glmS_1
12945_01188,agaAII_1
12945_01189,group_2005
12945_01190,fucP_1
12945_01191,group_1286
12945_01193,group_8447
12945_01194,yceJ
12945_01195,yceI
12945_01196,group_1563
12945_01197,group_1564
12945_01198,group_2713
12945_01199,group_1288
12945_01200,group_3744
12945_01201,group_2714
12945_01202,mutY
12945_01203,trmB
12945_01204,group_9802
12945_01205,glsA2
12945_01206,group_449
12945_01207,group_9287
12945_01208,dmlR_3
12945_01209,group_2466
12945_01210,hemN_2
12945_01211,rdgB
12945_01212,group_9253
12945_01213,group_2717
12945_01214,group_2008
12945_01215,proC
12945_01216,group_2009
12945_01217,pilT_1
12945_01218,pilT_2
12945_01219,group_2719
12945_01220,gpx1_1
12945_01221,hemH_1
12945_01222,kynA
12945_01223,kynU
12945_01224,yqgF
12945_01225,group_9990
12945_01226,group_2010
12945_01227,group_3621
12945_01228,group_2722
12945_01229,cynR_1
12945_01230,group_9504
12945_01231,oprF_1
12945_01232,mscS_2
12945_01233,tpx
12945_01234,group_2011
12945_01235,ltaE
12945_01236,group_9078
12945_01237,group_8085
12945_01238,fdx_1
12945_01239,dmlR_4
12945_01240,bdcA
12945_01241,ydhP_1
12945_01242,ydcP_2
12945_01243,group_8509
12945_01244,group_8378
12945_01245,group_9639
12945_01246,group_2012
12945_01247,group_9209
12945_01248,group_1565
12945_01249,mepB
12945_01250,mdtA_2
12945_01251,pilY1_1
12945_01252,group_1292
12945_01253,pilY1_2
12945_01254,group_3746
12945_01255,ettA
12945_01256,glyA
12945_01257,nrdR
12945_01258,ribD
12945_01259,ribE
12945_01260,ribBA
12945_01261,ribH
12945_01262,nusB
12945_01263,thiL
12945_01264,pgpA
12945_01265,group_476
12945_01266,group_8594
12945_01267,group_1293
12945_01268,group_2727
12945_01269,lutB
12945_01270,lutA
12945_01271,group_8216
12945_01272,lutP
12945_01273,nadK
12945_01274,grpE
12945_01275,proS
12945_01276,group_1108
12945_01277,maa_1
12945_01278,trmO_1
12945_01279,rcsF
12945_01280,group_1295
12945_01281,hutI_2
12945_01282,hns
12945_01283,etfB_1
12945_01284,etfA_1
12945_01285,group_9571
12945_01286,brnQ_1
12945_01287,dcp_1
12945_01288,tdk
12945_01289,group_1109
12945_01290,yeeA
12945_01291,group_1568
12945_01292,group_876
12945_01293,group_2016
12945_01294,gabD1
12945_01295,gldA
12945_01296,group_1296
12945_01297,cbh
12945_01298,group_968
12945_01299,group_788
12945_01300,group_1049
12945_01301,group_1297
12945_01302,group_692
12945_01303,scoB_1
12945_01304,scoA_1
